Album,Titolo,Rilascio,NCanzoni,IdArtista
Album,Kill :em all,1983-07-25,10,2
Album,Ride the lightning,1984-07-27,8,2
Album,Master of puppets,1986-03-03,8,2
Album,... And justice for all,1988-08-25,9,2
Album,Metallica,1991-08-12,12,2
Album,Made in heaven,1995-11-06,10,3
Album,The miracle,1989-05-22,10,3
Album,A night at the opera,1975-11-21,12,3
Album,News of the world,1977-10-28,11,3
Album,The game,1980-06-30,10,3
Album,Appetite for destruction,1987-07-21,12,4
Album,G N: R Lies,1988-11-29,8,4
Album,Use your illusion I,1991-09-17,16,4
Album,Use your illusion II,1991-09-17,14,4
Album,The spaghetti incident?,1993-11-23,12,4
Album,Ligabue,1990-05-11,11,5
Album,Mondovisione,2013-11-26,14,5
Album,Buon compleanno Elvis,1995-09-21,14,5
Album,Sopravvissuti e sopravviventi,1993-01-22,13,5
Album,Nome e cognome,2005-09-16,11,5
Album,...Ma cosa vuoi che sia una canzone...,1978-05-25,8,6
Album,Non siamo mica gli americani!,1979-04-30,9,6
Album,Colpa d:Alfredo,1980-04-03,8,6
Album,Siamo solo noi,1981-04-09,8,6
Album,Vado sl massimo,1982-04-13,9,6
Album,Herzeleid,1995-09-25,11,7
Album,Sehnsucht ,1997-08-22,11,7
Album,Mutter ,2001-04-02,11,7
Album,Reise; reise,2004-09-27,11,7
Album,Rosenrot,2005-08-28,11,7
Album,Hybrid theory,2001-10-24,12,8
Album,Meteora,2003-03-25,13,8
Album,Minutes to midnight,2007-05-15,12,8
Album,A thousand suns,2010-09-14,15,8
Album,Living things,2012-06-26,12,8
Album,Laura Pausini,1993-04-26,8,9
Album,Laura,1994-02-26,10,9
Album,Le cose che vivi,1996-09-12,12,9
Album,La mia risposta,1998-10-15,13,9
Album,Tra te e il mare,2000-09-15,14,9
Album,Il mare calmo della sera,1994-01-01,13,10
Album,Bocelli,1995-11-13,11,10
Album,Viaggio italiano,1996-01-01,16,10
Album,Aria - The opera album,1998-01-01,17,10
Album,Sogno,1999-04-06,14,10
Album,Ricky Martin,1991-11-26,11,11
Album,Me amaras,1993-05-25,10,11
Album,A medio vivir,1995-09-12,12,11
Album,Vuelve,1998-02-10,12,11
Album,Sound loaded,2000-12-26,15,11
