Canzoni,IdCanzone,Titolo,Rilascio,Durata,Colore,IdArtista
Canzoni,1,Hit the lights,1983-07-25,257,#ff0000,2
Canzoni,2,The four horsemen,1983-07-25,433,#ff0000,2
Canzoni,3,Motorbreath,1983-07-25,188,#ff0000,2
Canzoni,4,Jump in the fire,1983-07-25,281,#ff0000,2
Canzoni,5,(Anesthesia)-Pulling teeth,1983-07-25,254,#ff0000,2
Canzoni,6,Whiplash,1983-07-25,249,#ff0000,2
Canzoni,7,Phantom lord,1983-07-25,301,#ff0000,2
Canzoni,8,No remorse,1983-07-25,386,#ff0000,2
Canzoni,9,Seek & destroy,1983-07-25,415,#ff0000,2
Canzoni,10,Metal militia,1983-07-25,311,#ff0000,2
Canzoni,11,Fight fire with fire,1984-07-27,284,#ff4000,2
Canzoni,12,Ride the lightning,1984-07-27,397,#ff4000,2
Canzoni,13,For whom the bell tolls,1984-07-27,311,#ff4000,2
Canzoni,14,Fade to black,1984-07-27,415,#ff4000,2
Canzoni,15,Trapped under ice,1984-07-27,244,#ff4000,2
Canzoni,16,Escape,1984-07-27,264,#ff4000,2
Canzoni,17,Creeping death,1984-07-27,396,#ff4000,2
Canzoni,18,The call of ktulu,1984-07-27,535,#ff4000,2
Canzoni,19,Battery,1986-03-03,312,#ff8000,2
Canzoni,20,Master of puppets,1986-03-03,515,#ff8000,2
Canzoni,21,The thing that should not be,1986-03-03,396,#ff8000,2
Canzoni,22,Welcome home (Sanitarium),1986-03-03,387,#ff8000,2
Canzoni,23,Disposable heroes,1986-03-03,496,#ff8000,2
Canzoni,24,Leper messiah,1986-03-03,340,#ff8000,2
Canzoni,25,Orion,1986-03-03,507,#ff8000,2
Canzoni,26,Damage; Inc.,1986-03-03,332,#ff8000,2
Canzoni,27,Blackened,1988-08-25,400,#ffbf00,2
Canzoni,28,... And justice for all,1988-08-25,586,#ffbf00,2
Canzoni,29,Eye of the beholder,1988-08-25,390,#ffbf00,2
Canzoni,30,One,1988-08-25,447,#ffbf00,2
Canzoni,31,The shortest straw,1988-08-25,395,#ffbf00,2
Canzoni,32,Harvester of sorrow,1988-08-25,345,#ffbf00,2
Canzoni,33,The frayed ends of sanity,1988-08-25,764,#ffbf00,2
Canzoni,34,To live is to die,1988-08-25,588,#ffbf00,2
Canzoni,35,Dyers eve,1988-08-25,313,#ffbf00,2
Canzoni,36,Enter sandman,1991-08-12,329,#ffff00,2
Canzoni,37,Sad but true,1991-08-12,324,#ffff00,2
Canzoni,38,Holler than thou,1991-08-12,227,#ffff00,2
Canzoni,39,The unforgiven,1991-08-12,386,#ffff00,2
Canzoni,40,Wherever I may roam,1991-08-12,402,#ffff00,2
Canzoni,41,Don:t tread on me,1991-08-12,239,#ffff00,2
Canzoni,42,Through the never,1991-08-12,241,#ffff00,2
Canzoni,43,Nothing else matters,1991-08-12,389,#ffff00,2
Canzoni,44,Of wolf and man,1991-08-12,256,#ffff00,2
Canzoni,45,The god that failed,1991-08-12,305,#ffff00,2
Canzoni,46,My friend of misery,1991-08-12,407,#ffff00,2
Canzoni,47,The struggle within,1991-08-12,231,#ffff00,2
Canzoni,48,It:s a beautiful day,1995-11-06,152,#bfff00,3
Canzoni,49,Made in heaven,1995-11-06,325,#bfff00,3
Canzoni,50,Let me live,1995-11-06,285,#bfff00,3
Canzoni,51,Mother love,1995-11-06,286,#bfff00,3
Canzoni,52,My life has been saved,1995-11-06,195,#bfff00,3
Canzoni,53,I was born to love you,1995-11-06,289,#bfff00,3
Canzoni,54,Heaven for everyone,1995-11-06,336,#bfff00,3
Canzoni,55,Too much love will kill you,1995-11-06,258,#bfff00,3
Canzoni,56,You don:t fool me,1995-11-06,323,#bfff00,3
Canzoni,57,A winter:s tale,1995-11-06,229,#bfff00,3
Canzoni,58,Party,1989-05-22,144,#80ff00,3
Canzoni,59,Khashoggi:s ship,1989-05-22,148,#80ff00,3
Canzoni,60,The miracle,1989-05-22,302,#80ff00,3
Canzoni,61,I want it all,1989-05-22,281,#80ff00,3
Canzoni,62,The invisible man,1989-05-22,237,#80ff00,3
Canzoni,63,Breakthru,1989-05-22,248,#80ff00,3
Canzoni,64,Rain must fall,1989-05-22,263,#80ff00,3
Canzoni,65,Scandal,1989-05-22,282,#80ff00,3
Canzoni,66,My baby does me,1989-05-22,203,#80ff00,3
Canzoni,67,Was it all worth it,1989-05-22,345,#80ff00,3
Canzoni,68,Death on two legs (Dedicated to...),1975-11-21,223,#40ff00,3
Canzoni,69,Lazing on a sunday afternoon,1975-11-21,67,#40ff00,3
Canzoni,70,I:m in love with my car,1975-11-21,185,#40ff00,3
Canzoni,71,You:re my best friend,1975-11-21,172,#40ff00,3
Canzoni,72,:39,1975-11-21,211,#40ff00,3
Canzoni,73,Sweet lady,1975-11-21,244,#40ff00,3
Canzoni,74,Seaside rendezvous,1975-11-21,196,#40ff00,3
Canzoni,75,The prophet:s song,1975-11-21,501,#40ff00,3
Canzoni,76,Love of my life,1975-11-21,219,#40ff00,3
Canzoni,77,Good company,1975-11-21,203,#40ff00,3
Canzoni,78,Bohemian rhapsody,1975-11-21,355,#40ff00,3
Canzoni,79,God save the queen,1975-11-21,75,#40ff00,3
Canzoni,80,We will rock you,1977-10-28,121,#00ff00,3
Canzoni,81,We are the champions,1977-10-28,177,#00ff00,3
Canzoni,82,Sheer heart attack,1977-10-28,204,#00ff00,3
Canzoni,83,All dead; all dead,1977-10-28,191,#00ff00,3
Canzoni,84,Spread your wings,1977-10-28,266,#00ff00,3
Canzoni,85,Fight from the inside,1977-10-28,183,#00ff00,3
Canzoni,86,Get down; aake love,1977-10-28,231,#00ff00,3
Canzoni,87,Sleeping on the sidewalk,1977-10-28,188,#00ff00,3
Canzoni,88,Who needs you,1977-10-28,186,#00ff00,3
Canzoni,89,It:s late,1977-10-28,387,#00ff00,3
Canzoni,90,My melancholy blues,1977-10-28,209,#00ff00,3
Canzoni,91,Play the game,1980-06-30,213,#00ff40,3
Canzoni,92,Dragon attack,1980-06-30,259,#00ff40,3
Canzoni,93,Another one bites the dust,1980-06-30,212,#00ff40,3
Canzoni,94,Need your loving tonight,1980-06-30,169,#00ff40,3
Canzoni,95,Crazy little thing aalled love,1980-06-30,168,#00ff40,3
Canzoni,96,Rock it (Prime jive),1980-06-30,273,#00ff40,3
Canzoni,97,Don:t try suicide,1980-06-30,232,#00ff40,3
Canzoni,98,Sail away sweet sister (To the sister I never had),1980-06-30,213,#00ff40,3
